date,quantity_sold
2023-07-04,30
2023-07-05,26
2023-07-06,29
2023-07-07,29
2023-07-08,40
2023-07-09,42
2023-07-10,24
2023-07-11,25
2023-07-12,29
2023-07-13,31
2023-07-14,28
2023-07-15,49
2023-07-16,46
2023-07-17,28
2023-07-18,25
2023-07-19,26
2023-07-20,26
2023-07-21,25
2023-07-22,48
2023-07-23,44
2023-07-24,27
2023-07-25,31
2023-07-26,27
2023-07-27,25
2023-07-28,27
2023-07-29,45
2023-07-30,41
2023-07-31,25
2023-08-01,26
2023-08-02,25
2023-08-03,23
2023-08-04,21
2023-08-05,33
2023-08-06,39
2023-08-07,26
2023-08-08,22
2023-08-09,27
2023-08-10,18
2023-08-11,24
2023-08-12,40
2023-08-13,44
2023-08-14,26
2023-08-15,27
2023-08-16,28
2023-08-17,27
2023-08-18,30
2023-08-19,44
2023-08-20,46
2023-08-21,24
2023-08-22,29
2023-08-23,21
2023-08-24,20
2023-08-25,23
2023-08-26,42
2023-08-27,39
2023-08-28,18
2023-08-29,24
2023-08-30,22
2023-08-31,18
2023-09-01,19
2023-09-02,29
2023-09-03,32
2023-09-04,19
2023-09-05,27
2023-09-06,18
2023-09-07,20
2023-09-08,16
2023-09-09,27
2023-09-10,26
2023-09-11,17
2023-09-12,18
2023-09-13,15
2023-09-14,18
2023-09-15,20
2023-09-16,25
2023-09-17,31
2023-09-18,18
2023-09-19,20
2023-09-20,17
2023-09-21,14
2023-09-22,18
2023-09-23,31
2023-09-24,26
2023-09-25,19
2023-09-26,19
2023-09-27,12
2023-09-28,16
2023-09-29,16
2023-09-30,25
2023-10-01,13
2023-10-02,9
2023-10-03,10
2023-10-04,13
2023-10-05,9
2023-10-06,13
2023-10-07,20
2023-10-08,17
2023-10-09,8
2023-10-10,12
2023-10-11,6
2023-10-12,10
2023-10-13,14
2023-10-14,20
2023-10-15,12
2023-10-16,10
2023-10-17,7
2023-10-18,11
2023-10-19,14
2023-10-20,13
2023-10-21,15
2023-10-22,22
2023-10-23,11
2023-10-24,15
2023-10-25,9
2023-10-26,9
2023-10-27,7
2023-10-28,15
2023-10-29,23
2023-10-30,13
2023-10-31,12
2023-11-01,9
2023-11-02,13
2023-11-03,16
2023-11-04,19
2023-11-05,17
2023-11-06,17
2023-11-07,12
2023-11-08,10
2023-11-09,14
2023-11-10,16
2023-11-11,15
2023-11-12,23
2023-11-13,13
2023-11-14,18
2023-11-15,9
2023-11-16,7
2023-11-17,14
2023-11-18,16
2023-11-19,19
2023-11-20,15
2023-11-21,12
2023-11-22,6
2023-11-23,11
2023-11-24,12
2023-11-25,28
2023-11-26,19
2023-11-27,9
2023-11-28,13
2023-11-29,8
2023-11-30,13
2023-12-01,10
2023-12-02,19
2023-12-03,22
2023-12-04,17
2023-12-05,12
2023-12-06,15
2023-12-07,6
2023-12-08,14
2023-12-09,14
2023-12-10,25
2023-12-11,14
2023-12-12,15
2023-12-13,10
2023-12-14,10
2023-12-15,12
2023-12-16,21
2023-12-17,22
2023-12-18,13
2023-12-19,15
2023-12-20,13
2023-12-21,9
2023-12-22,10
2023-12-23,18
2023-12-24,24
2023-12-25,7
2023-12-26,13
2023-12-27,10
2023-12-28,13
2023-12-29,18
2023-12-30,22
2023-12-31,20
